# Exported by snowmicropyn 1.1.0 (git hash 810911e91ee489585bd69acfc72637e7a61b7dc0)
distance [mm],force [N]
55.8884,0.0914
55.8926,0.0887
55.8967,0.0914
55.9008,0.0914
55.9050,0.0887
55.9091,0.0900
55.9132,0.0900
55.9174,0.0914
55.9215,0.0900
55.9256,0.0874
55.9297,0.0900
55.9339,0.0900
55.9380,0.0900
55.9421,0.0874
55.9463,0.0887
55.9504,0.0914
55.9545,0.0900
55.9587,0.0914
55.9628,0.0940
55.9669,0.0914
55.9711,0.0900
55.9752,0.0900
55.9793,0.0940
55.9835,0.0927
55.9876,0.0914
55.9917,0.0914
55.9959,0.0900
56.0000,0.0914
56.0041,0.0887
56.0083,0.0874
56.0124,0.0914
56.0165,0.0887
56.0207,0.0914
56.0248,0.0914
56.0289,0.0874
56.0331,0.0914
56.0372,0.0900
56.0413,0.0887
56.0455,0.0887
56.0496,0.0940
56.0537,0.0900
56.0578,0.0900
56.0620,0.0900
56.0661,0.0927
56.0702,0.0900
56.0744,0.0900
56.0785,0.0914
56.0826,0.0914
56.0868,0.0887
56.0909,0.0900
56.0950,0.0861
56.0992,0.0900
56.1033,0.0900
56.1074,0.0887
56.1116,0.0861
56.1157,0.0874
56.1198,0.0887
56.1240,0.0887
56.1281,0.0887
56.1322,0.0914
56.1364,0.0914
56.1405,0.0927
56.1446,0.0900
56.1488,0.0900
56.1529,0.0940
56.1570,0.0940
56.1612,0.0900
56.1653,0.0940
56.1694,0.0900
56.1736,0.0900
56.1777,0.0914
56.1818,0.0914
56.1859,0.0914
56.1901,0.0927
56.1942,0.0940
56.1983,0.0887
56.2025,0.0914
56.2066,0.0953
56.2107,0.0900
56.2149,0.0900
56.2190,0.0940
56.2231,0.0914
56.2273,0.0914
56.2314,0.0927
56.2355,0.0914
56.2397,0.0940
56.2438,0.0914
56.2479,0.0900
56.2521,0.0887
56.2562,0.0927
56.2603,0.0900
56.2645,0.0887
56.2686,0.0900
56.2727,0.0900
56.2769,0.0874
56.2810,0.0874
56.2851,0.0887
56.2893,0.0887
56.2934,0.0887
56.2975,0.0914
56.3017,0.0887
56.3058,0.0900
56.3099,0.0900
56.3140,0.0900
56.3182,0.0914
56.3223,0.0927
56.3264,0.0900
56.3306,0.0900
56.3347,0.0900
56.3388,0.0900
56.3430,0.0900
56.3471,0.0914
56.3512,0.0874
56.3554,0.0887
56.3595,0.0914
56.3636,0.0900
56.3678,0.0874
56.3719,0.0900
56.3760,0.0914
56.3802,0.0900
56.3843,0.0887
56.3884,0.0914
56.3926,0.0914
56.3967,0.0887
56.4008,0.0900
56.4050,0.0927
56.4091,0.0914
56.4132,0.0914
56.4174,0.0914
56.4215,0.0900
56.4256,0.0914
56.4297,0.0927
56.4339,0.0900
56.4380,0.0914
56.4421,0.0914
56.4463,0.0887
56.4504,0.0900
56.4545,0.0900
56.4587,0.0887
56.4628,0.0914
56.4669,0.0914
56.4711,0.0914
56.4752,0.0927
56.4793,0.0900
56.4835,0.0940
56.4876,0.0900
56.4917,0.0914
56.4959,0.0914
56.5000,0.0914
56.5041,0.0887
56.5083,0.0914
56.5124,0.0900
56.5165,0.0900
56.5207,0.0887
56.5248,0.0887
56.5289,0.0874
56.5331,0.0914
56.5372,0.0927
56.5413,0.0914
56.5455,0.0927
56.5496,0.0914
56.5537,0.0900
56.5578,0.0914
56.5620,0.0914
56.5661,0.0914
56.5702,0.0900
56.5744,0.0927
56.5785,0.0914
56.5826,0.0914
56.5868,0.0887
56.5909,0.0900
56.5950,0.0900
56.5992,0.0900
56.6033,0.0861
56.6074,0.0900
56.6116,0.0914
56.6157,0.0900
56.6198,0.0900
56.6240,0.0927
56.6281,0.0900
56.6322,0.0914
56.6364,0.0887
56.6405,0.0940
56.6446,0.0914
56.6488,0.0900
56.6529,0.0900
56.6570,0.0914
56.6612,0.0900
56.6653,0.0874
56.6694,0.0900
56.6736,0.0900
56.6777,0.0927
56.6818,0.0900
56.6859,0.0914
56.6901,0.0914
56.6942,0.0914
56.6983,0.0914
56.7025,0.0900
56.7066,0.0914
56.7107,0.0900
56.7149,0.0900
56.7190,0.0914
56.7231,0.0900
56.7273,0.0874
56.7314,0.0940
56.7355,0.0900
56.7397,0.0887
56.7438,0.0887
56.7479,0.0927
56.7521,0.0927
56.7562,0.0874
56.7603,0.0914
56.7645,0.0940
56.7686,0.0887
56.7727,0.0874
56.7769,0.0887
56.7810,0.0900
56.7851,0.0914
56.7893,0.0900
56.7934,0.0887
56.7975,0.0900
56.8017,0.0927
56.8058,0.0900
56.8099,0.0900
56.8140,0.0900
56.8182,0.0927
56.8223,0.0927
56.8264,0.0927
56.8306,0.0914
56.8347,0.0927
56.8388,0.0900
56.8430,0.0887
56.8471,0.0900
56.8512,0.0874
56.8554,0.0887
56.8595,0.0887
56.8636,0.0900
56.8678,0.0887
56.8719,0.0900
56.8760,0.0887
56.8802,0.0900
56.8843,0.0900
56.8884,0.0940
56.8926,0.0900
56.8967,0.0900
56.9008,0.0900
56.9050,0.0940
56.9091,0.0874
56.9132,0.0861
56.9174,0.0887
56.9215,0.0900
56.9256,0.0874
56.9297,0.0900
56.9339,0.0900
56.9380,0.0914
56.9421,0.0900
56.9463,0.0900
56.9504,0.0914
56.9545,0.0900
56.9587,0.0900
56.9628,0.0940
56.9669,0.0927
56.9711,0.0914
56.9752,0.0927
56.9793,0.0914
56.9835,0.0940
56.9876,0.0927
56.9917,0.0953
56.9959,0.0927
57.0000,0.0927
57.0041,0.0900
57.0083,0.0900
57.0124,0.0900
57.0165,0.0900
57.0207,0.0887
57.0248,0.0887
57.0289,0.0914
57.0331,0.0927
57.0372,0.0914
57.0413,0.0900
57.0455,0.0940
57.0496,0.0927
57.0537,0.0914
57.0578,0.0914
57.0620,0.0927
57.0661,0.0914
57.0702,0.0914
57.0744,0.0887
57.0785,0.0887
57.0826,0.0900
57.0868,0.0914
57.0909,0.0887
57.0950,0.0887
57.0992,0.0927
57.1033,0.0900
57.1074,0.0887
57.1116,0.0887
57.1157,0.0900
57.1198,0.0887
57.1240,0.0887
57.1281,0.0887
57.1322,0.0914
57.1364,0.0900
57.1405,0.0900
57.1446,0.0900
57.1488,0.0953
57.1529,0.0914
57.1570,0.0914
57.1612,0.0900
57.1653,0.0927
57.1694,0.0953
57.1736,0.0900
57.1777,0.0874
57.1818,0.0900
57.1859,0.0914
57.1901,0.0900
57.1942,0.0900
57.1983,0.0900
57.2025,0.0900
57.2066,0.0900
57.2107,0.0900
57.2149,0.0914
57.2190,0.0927
57.2231,0.0914
57.2273,0.0900
57.2314,0.0900
57.2355,0.0927
57.2397,0.0927
57.2438,0.0914
57.2479,0.0914
57.2521,0.0927
57.2562,0.0914
57.2603,0.0874
57.2645,0.0887
57.2686,0.0914
57.2727,0.0900
57.2769,0.0900
57.2810,0.0887
57.2851,0.0900
57.2893,0.0927
57.2934,0.0887
57.2975,0.0900
57.3017,0.0914
57.3058,0.0940
57.3099,0.0914
57.3140,0.0900
57.3182,0.0927
57.3223,0.0940
57.3264,0.0927
57.3306,0.0900
57.3347,0.0900
57.3388,0.0927
57.3430,0.0900
57.3471,0.0887
57.3512,0.0887
57.3554,0.0927
57.3595,0.0914
57.3636,0.0887
57.3678,0.0887
57.3719,0.0940
57.3760,0.0900
57.3802,0.0900
57.3843,0.0914
57.3884,0.0940
57.3926,0.0914
57.3967,0.0887
57.4008,0.0900
57.4050,0.0900
57.4091,0.0900
57.4132,0.0900
57.4174,0.0900
57.4215,0.0914
57.4256,0.0900
57.4297,0.0900
57.4339,0.0900
57.4380,0.0900
57.4421,0.0900
57.4463,0.0887
57.4504,0.0887
57.4545,0.0900
57.4587,0.0874
57.4628,0.0900
57.4669,0.0900
57.4711,0.0900
57.4752,0.0927
57.4793,0.0940
57.4835,0.0940
57.4876,0.0927
57.4917,0.0927
57.4959,0.0914
57.5000,0.0900
57.5041,0.0914
57.5083,0.0874
57.5124,0.0900
57.5165,0.0927
57.5207,0.0900
57.5248,0.0900
57.5289,0.0900
57.5331,0.0914
57.5372,0.0900
57.5413,0.0900
57.5455,0.0900
57.5496,0.0900
57.5537,0.0914
57.5578,0.0900
57.5620,0.0887
57.5661,0.0927
57.5702,0.0914
57.5744,0.0900
57.5785,0.0887
57.5826,0.0940
57.5868,0.0900
57.5909,0.0900
57.5950,0.0900
57.5992,0.0940
57.6033,0.0887
57.6074,0.0887
57.6116,0.0847
57.6157,0.0900
57.6198,0.0887
57.6240,0.0900
57.6281,0.0887
57.6322,0.0914
57.6364,0.0927
57.6405,0.0927
57.6446,0.0927
57.6488,0.0940
57.6529,0.0900
57.6570,0.0940
57.6612,0.0940
57.6653,0.0914
57.6694,0.0887
57.6736,0.0887
57.6777,0.0887
57.6818,0.0874
57.6859,0.0887
57.6901,0.0887
57.6942,0.0900
57.6983,0.0900
57.7025,0.0900
57.7066,0.0914
57.7107,0.0900
57.7149,0.0927
57.7190,0.0914
57.7231,0.0927
57.7273,0.0914
57.7314,0.0940
57.7355,0.0914
57.7397,0.0900
57.7438,0.0914
57.7479,0.0940
57.7521,0.0887
57.7562,0.0861
57.7603,0.0914
57.7645,0.0900
57.7686,0.0874
57.7727,0.0887
57.7769,0.0914
57.7810,0.0900
57.7851,0.0887
57.7893,0.0874
57.7934,0.0914
57.7975,0.0940
57.8017,0.0927
57.8058,0.0900
57.8099,0.0940
57.8140,0.0914
57.8182,0.0927
57.8223,0.0914
57.8264,0.0927
57.8306,0.0914
57.8347,0.0914
57.8388,0.0914
57.8430,0.0887
57.8471,0.0900
57.8512,0.0914
57.8554,0.0887
57.8595,0.0874
57.8636,0.0940
57.8678,0.0914
57.8719,0.0914
57.8760,0.0914
57.8802,0.0914
57.8843,0.0900
57.8884,0.0887
57.8926,0.0914
57.8967,0.0927
57.9008,0.0927
57.9050,0.0900
57.9091,0.0914
57.9132,0.0914
57.9174,0.0914
57.9215,0.0900
57.9256,0.0927
57.9297,0.0914
57.9339,0.0914
57.9380,0.0874
57.9421,0.0900
57.9463,0.0900
57.9504,0.0887
57.9545,0.0861
57.9587,0.0887
57.9628,0.0900
57.9669,0.0914
57.9711,0.0914
57.9752,0.0927
57.9793,0.0940
57.9835,0.0953
57.9876,0.0940
57.9917,0.0914
57.9959,0.0927
58.0000,0.0927
58.0041,0.0900
58.0083,0.0874
58.0124,0.0874
58.0165,0.0900
58.0207,0.0887
58.0248,0.0874
58.0289,0.0900
58.0331,0.0914
58.0372,0.0900
58.0413,0.0900
58.0455,0.0953
58.0496,0.0940
58.0537,0.0914
58.0578,0.0887
58.0620,0.0940
58.0661,0.0914
58.0702,0.0900
58.0744,0.0927
58.0785,0.0914
58.0826,0.0861
58.0868,0.0914
58.0909,0.0914
58.0950,0.0887
58.0992,0.0874
58.1033,0.0914
58.1074,0.0887
58.1116,0.0887
58.1157,0.0900
58.1198,0.0887
58.1240,0.0900
58.1281,0.0874
58.1322,0.0874
58.1364,0.0953
58.1405,0.0914
58.1446,0.0927
58.1488,0.0900
58.1529,0.0940
58.1570,0.0900
58.1612,0.0874
58.1653,0.0887
58.1694,0.0914
58.1736,0.0887
58.1777,0.0900
58.1818,0.0914
58.1859,0.0940
58.1901,0.0900
58.1942,0.0900
58.1983,0.0940
58.2025,0.0900
58.2066,0.0914
58.2107,0.0927
58.2149,0.0914
58.2190,0.0900
58.2231,0.0900
58.2273,0.0940
58.2314,0.0874
58.2355,0.0887
58.2397,0.0914
58.2438,0.0927
58.2479,0.0900
58.2521,0.0900
58.2562,0.0900
58.2603,0.0927
58.2645,0.0887
58.2686,0.0861
58.2727,0.0900
58.2769,0.0927
58.2810,0.0900
58.2851,0.0874
58.2893,0.0927
58.2934,0.0914
58.2975,0.0887
58.3017,0.0887
58.3058,0.0940
58.3099,0.0887
58.3140,0.0914
58.3182,0.0940
58.3223,0.0887
58.3264,0.0900
58.3306,0.0927
58.3347,0.0900
58.3388,0.0874
58.3430,0.0887
58.3471,0.0900
58.3512,0.0900
58.3554,0.0887
58.3595,0.0874
58.3636,0.0887
58.3678,0.0914
58.3719,0.0887
58.3760,0.0914
58.3802,0.0927
58.3843,0.0914
58.3884,0.0927
58.3926,0.0927
58.3967,0.0900
58.4008,0.0914
58.4050,0.0914
58.4091,0.0914
58.4132,0.0887
58.4174,0.0900
58.4215,0.0914
58.4256,0.0887
58.4297,0.0874
58.4339,0.0927
58.4380,0.0887
58.4421,0.0874
58.4463,0.0874
58.4504,0.0914
58.4545,0.0914
58.4587,0.0900
58.4628,0.0900
58.4669,0.0914
58.4711,0.0914
58.4752,0.0900
58.4793,0.0900
58.4835,0.0900
58.4876,0.0927
58.4917,0.0900
58.4959,0.0900
58.5000,0.0900
58.5041,0.0914
58.5083,0.0900
58.5124,0.0887
58.5165,0.0887
58.5207,0.0927
58.5248,0.0927
58.5289,0.0900
58.5331,0.0887
58.5372,0.0900
58.5413,0.0940
58.5455,0.0927
58.5496,0.0900
58.5537,0.0914
58.5578,0.0940
58.5620,0.0900
58.5661,0.0900
58.5702,0.0887
58.5744,0.0927
58.5785,0.0914
58.5826,0.0900
58.5868,0.0900
58.5909,0.0940
58.5950,0.0914
58.5992,0.0900
58.6033,0.0861
58.6074,0.0914
58.6116,0.0900
58.6157,0.0874
58.6198,0.0900
58.6240,0.0940
58.6281,0.0914
58.6322,0.0887
58.6364,0.0927
58.6405,0.0914
58.6446,0.0914
58.6488,0.0900
58.6529,0.0914
58.6570,0.0900
58.6612,0.0914
58.6653,0.0914
58.6694,0.0900
58.6736,0.0900
58.6777,0.0927
58.6818,0.0900
58.6859,0.0914
58.6901,0.0900
58.6942,0.0914
58.6983,0.0927
58.7025,0.0927
58.7066,0.0874
58.7107,0.0900
58.7149,0.0914
58.7190,0.0900
58.7231,0.0874
58.7273,0.0940
58.7314,0.0940
58.7355,0.0887
58.7397,0.0887
58.7438,0.0914
58.7479,0.0940
58.7521,0.0914
58.7562,0.0900
58.7603,0.0900
58.7645,0.0927
58.7686,0.0900
58.7727,0.0874
58.7769,0.0874
58.7810,0.0927
58.7851,0.0861
58.7893,0.0887
58.7934,0.0900
58.7975,0.0914
58.8017,0.0927
58.8058,0.0940
58.8099,0.0900
58.8140,0.0900
58.8182,0.0927
58.8223,0.0914
58.8264,0.0887
58.8306,0.0927
58.8347,0.0940
58.8388,0.0914
58.8430,0.0887
58.8471,0.0900
58.8512,0.0953
58.8554,0.0914
58.8595,0.0887
58.8636,0.0874
58.8678,0.0914
58.8719,0.0953
58.8760,0.0887
58.8802,0.0900
58.8843,0.0940
58.8884,0.0914
58.8926,0.0887
58.8967,0.0914
58.9008,0.0940
58.9050,0.0900
58.9091,0.0900
58.9132,0.0900
58.9174,0.0914
58.9215,0.0900
58.9256,0.0887
58.9297,0.0887
58.9339,0.0900
58.9380,0.0900
58.9421,0.0900
58.9463,0.0887
58.9504,0.0900
58.9545,0.0874
58.9587,0.0887
58.9628,0.0900
58.9669,0.0927
58.9711,0.0927
58.9752,0.0940
58.9793,0.0900
58.9835,0.0900
58.9876,0.0927
58.9917,0.0914
58.9959,0.0874
59.0000,0.0887
59.0041,0.0887
59.0083,0.0900
59.0124,0.0927
59.0165,0.0900
59.0207,0.0887
59.0248,0.0953
59.0289,0.0940
59.0331,0.0900
59.0372,0.0900
59.0413,0.0927
59.0455,0.0927
59.0496,0.0900
59.0537,0.0887
59.0578,0.0900
59.0620,0.0887
59.0661,0.0874
59.0702,0.0887
59.0744,0.0914
59.0785,0.0900
59.0826,0.0914
59.0868,0.0887
59.0909,0.0900
59.0950,0.0914
59.0992,0.0900
59.1033,0.0887
59.1074,0.0847
59.1116,0.0874
59.1157,0.0900
59.1198,0.0874
59.1240,0.0887
59.1281,0.0874
59.1322,0.0914
59.1364,0.0900
59.1405,0.0914
59.1446,0.0914
59.1488,0.0940
59.1529,0.0967
59.1570,0.0914
59.1612,0.0887
59.1653,0.0927
59.1694,0.0914
59.1736,0.0887
59.1777,0.0887
59.1818,0.0927
59.1859,0.0927
59.1901,0.0887
59.1942,0.0914
59.1983,0.0900
59.2025,0.0927
59.2066,0.0900
59.2107,0.0887
59.2149,0.0887
59.2190,0.0940
59.2231,0.0940
59.2273,0.0874
59.2314,0.0874
59.2355,0.0953
59.2397,0.0914
59.2438,0.0874
59.2479,0.0874
59.2521,0.0940
59.2562,0.0914
59.2603,0.0900
59.2645,0.0887
59.2686,0.0887
59.2727,0.0927
59.2769,0.0887
59.2810,0.0874
59.2851,0.0900
59.2893,0.0900
59.2934,0.0900
59.2975,0.0887
59.3017,0.0900
59.3058,0.0927
59.3099,0.0900
59.3140,0.0900
59.3182,0.0940
59.3223,0.0914
59.3264,0.0914
59.3306,0.0914
59.3347,0.0900
59.3388,0.0900
59.3430,0.0900
59.3471,0.0874
59.3512,0.0861
59.3554,0.0927
59.3595,0.0900
59.3636,0.0914
59.3678,0.0914
59.3719,0.0927
59.3760,0.0927
59.3802,0.0900
59.3843,0.0914
59.3884,0.0940
59.3926,0.0914
59.3967,0.0874
59.4008,0.0900
59.4050,0.0900
59.4091,0.0887
59.4132,0.0887
59.4174,0.0874
59.4215,0.0900
59.4256,0.0940
59.4297,0.0900
59.4339,0.0887
59.4380,0.0900
59.4421,0.0914
59.4463,0.0914
59.4504,0.0861
59.4545,0.0887
59.4587,0.0927
59.4628,0.0927
59.4669,0.0914
59.4711,0.0900
59.4752,0.0953
59.4793,0.0927
59.4835,0.0914
59.4876,0.0874
59.4917,0.0940
59.4959,0.0927
59.5000,0.0900
59.5041,0.0887
59.5083,0.0900
59.5124,0.0940
59.5165,0.0914
59.5207,0.0887
59.5248,0.0900
59.5289,0.0914
59.5331,0.0927
59.5372,0.0900
59.5413,0.0914
59.5455,0.0927
59.5496,0.0927
59.5537,0.0900
59.5578,0.0900
59.5620,0.0914
59.5661,0.0940
59.5702,0.0914
59.5744,0.0914
59.5785,0.0900
59.5826,0.0927
59.5868,0.0900
59.5909,0.0887
59.5950,0.0887
59.5992,0.0887
59.6033,0.0914
59.6074,0.0874
59.6116,0.0900
59.6157,0.0887
59.6198,0.0900
59.6240,0.0887
59.6281,0.0887
59.6322,0.0887
59.6364,0.0914
59.6405,0.0927
59.6446,0.0914
59.6488,0.0900
59.6529,0.0967
59.6570,0.0914
59.6612,0.0927
59.6653,0.0900
59.6694,0.0940
59.6736,0.0874
59.6777,0.0900
59.6818,0.0914
59.6859,0.0887
59.6901,0.0900
59.6942,0.0900
59.6983,0.0927
59.7025,0.0927
59.7066,0.0914
59.7107,0.0914
59.7149,0.0953
59.7190,0.0940
59.7231,0.0861
59.7273,0.0914
59.7314,0.0914
59.7355,0.0874
59.7397,0.0900
59.7438,0.0940
59.7479,0.0900
59.7521,0.0874
59.7562,0.0914
59.7603,0.0914
59.7645,0.0900
59.7686,0.0900
59.7727,0.0900
59.7769,0.0914
59.7810,0.0874
59.7851,0.0914
59.7893,0.0874
59.7934,0.0887
59.7975,0.0874
59.8017,0.0887
59.8058,0.0900
59.8099,0.0927
59.8140,0.0914
59.8182,0.0914
59.8223,0.0914
59.8264,0.0927
59.8306,0.0887
59.8347,0.0887
59.8388,0.0914
59.8430,0.0914
59.8471,0.0900
59.8512,0.0900
59.8554,0.0900
59.8595,0.0927
59.8636,0.0900
59.8678,0.0914
59.8719,0.0914
59.8760,0.0940
59.8802,0.0927
59.8843,0.0914
59.8884,0.0900
59.8926,0.0900
59.8967,0.0927
59.9008,0.0914
59.9050,0.0861
59.9091,0.0900
59.9132,0.0953
59.9174,0.0914
59.9215,0.0900
59.9256,0.0914
59.9297,0.0900
59.9339,0.0874
59.9380,0.0900
59.9421,0.0900
59.9463,0.0874
59.9504,0.0887
59.9545,0.0914
59.9587,0.0887
59.9628,0.0887
59.9669,0.0887
59.9711,0.0927
59.9752,0.0914
59.9793,0.0900
59.9835,0.0940
59.9876,0.0940
59.9917,0.0900
59.9959,0.0914
60.0000,0.0900
60.0041,0.0927
60.0083,0.0861
60.0124,0.0861
60.0165,0.0900
60.0207,0.0914
60.0248,0.0874
60.0289,0.0900
60.0331,0.0900
60.0372,0.0927
60.0413,0.0887
60.0455,0.0927
60.0496,0.0914
60.0537,0.0940
60.0578,0.0914
60.0620,0.0927
60.0661,0.0940
60.0702,0.0927
60.0744,0.0887
60.0785,0.0914
60.0826,0.0900
60.0868,0.0887
60.0909,0.0900
60.0950,0.0900
60.0992,0.0887
60.1033,0.0900
60.1074,0.0900
60.1116,0.0874
60.1157,0.0887
60.1198,0.0914
60.1240,0.0914
60.1281,0.0900
60.1322,0.0914
60.1364,0.0900
60.1405,0.0940
60.1446,0.0914
60.1488,0.0914
60.1529,0.0914
60.1570,0.0900
60.1612,0.0900
60.1653,0.0900
60.1694,0.0900
60.1736,0.0887
60.1777,0.0927
60.1818,0.0874
60.1859,0.0874
60.1901,0.0914
60.1942,0.0940
60.1983,0.0887
60.2025,0.0914
60.2066,0.0900
60.2107,0.0953
60.2149,0.0887
60.2190,0.0887
60.2231,0.0914
60.2273,0.0927
60.2314,0.0914
60.2355,0.0900
60.2397,0.0914
60.2438,0.0927
60.2479,0.0900
60.2521,0.0914
60.2562,0.0887
60.2603,0.0900
60.2645,0.0927
60.2686,0.0900
60.2727,0.0900
60.2769,0.0900
60.2810,0.0914
60.2851,0.0861
60.2893,0.0900
60.2934,0.0887
60.2975,0.0887
60.3017,0.0914
60.3058,0.0914
60.3099,0.0900
60.3140,0.0940
60.3182,0.0914
60.3223,0.0927
60.3264,0.0887
60.3306,0.0967
60.3347,0.0914
60.3388,0.0900
60.3430,0.0874
60.3471,0.0914
60.3512,0.0900
60.3554,0.0887
60.3595,0.0861
60.3636,0.0900
60.3678,0.0914
60.3719,0.0900
60.3760,0.0887
60.3802,0.0927
60.3843,0.0900
60.3884,0.0900
60.3926,0.0900
60.3967,0.0900
60.4008,0.0927
60.4050,0.0927
60.4091,0.0914
60.4132,0.0900
60.4174,0.0914
60.4215,0.0927
60.4256,0.0887
60.4297,0.0887
60.4339,0.0874
60.4380,0.0900
60.4421,0.0900
60.4463,0.0861
60.4504,0.0887
60.4545,0.0887
60.4587,0.0887
60.4628,0.0887
60.4669,0.0900
60.4711,0.0927
60.4752,0.0940
60.4793,0.0914
60.4835,0.0900
60.4876,0.0927
60.4917,0.0914
60.4959,0.0900
60.5000,0.0887
60.5041,0.0940
60.5083,0.0927
60.5124,0.0900
60.5165,0.0887
60.5207,0.0940
60.5248,0.0900
60.5289,0.0900
60.5331,0.0887
60.5372,0.0914
60.5413,0.0927
60.5455,0.0914
60.5496,0.0914
60.5537,0.0927
60.5578,0.0900
60.5620,0.0900
60.5661,0.0900
60.5702,0.0900
60.5744,0.0900
60.5785,0.0927
60.5826,0.0914
60.5868,0.0900
60.5909,0.0900
60.5950,0.0927
60.5992,0.0900
60.6033,0.0900
60.6074,0.0900
60.6116,0.0927
60.6157,0.0887
60.6198,0.0861
60.6240,0.0900
60.6281,0.0887
60.6322,0.0887
60.6364,0.0887
60.6405,0.0927
60.6446,0.0914
60.6488,0.0914
60.6529,0.0927
60.6570,0.0953
60.6612,0.0900
60.6653,0.0900
60.6694,0.0927
60.6736,0.0900
60.6777,0.0900
60.6818,0.0900
60.6859,0.0914
60.6901,0.0887
60.6942,0.0900
60.6983,0.0927
60.7025,0.0900
60.7066,0.0887
60.7107,0.0914
60.7149,0.0953
60.7190,0.0927
60.7231,0.0914
60.7273,0.0887
60.7314,0.0914
60.7355,0.0900
60.7397,0.0874
60.7438,0.0887
60.7479,0.0914
60.7521,0.0900
60.7562,0.0874
60.7603,0.0900
60.7645,0.0887
60.7686,0.0874
60.7727,0.0861
60.7769,0.0861
60.7810,0.0874
60.7851,0.0887
60.7893,0.0900
60.7934,0.0874
60.7975,0.0900
60.8017,0.0914
60.8058,0.0900
60.8099,0.0900
60.8140,0.0914
60.8182,0.0927
60.8223,0.0914
60.8264,0.0900
60.8306,0.0900
60.8347,0.0914
60.8388,0.0900
60.8430,0.0874
60.8471,0.0874
60.8512,0.0900
60.8554,0.0914
60.8595,0.0887
60.8636,0.0887
60.8678,0.0927
60.8719,0.0914
60.8760,0.0900
60.8802,0.0900
60.8843,0.0900
60.8884,0.0927
60.8926,0.0914
60.8967,0.0914
60.9008,0.0914
60.9050,0.0914
60.9091,0.0914
60.9132,0.0887
60.9174,0.0874
60.9215,0.0914
60.9256,0.0914
60.9297,0.0874
60.9339,0.0874
60.9380,0.0900
60.9421,0.0953
60.9463,0.0887
60.9504,0.0861
60.9545,0.0900
60.9587,0.0953
60.9628,0.0900
60.9669,0.0874
60.9711,0.0927
60.9752,0.0940
60.9793,0.0914
60.9835,0.0914
60.9876,0.0900
60.9917,0.0927
60.9959,0.0953
61.0000,0.0914
61.0041,0.0900
61.0083,0.0900
61.0124,0.0874
61.0165,0.0887
61.0207,0.0874
61.0248,0.0887
61.0289,0.0914
61.0331,0.0914
61.0372,0.0914
61.0413,0.0900
61.0455,0.0940
61.0496,0.0940
61.0537,0.0900
61.0578,0.0887
61.0620,0.0953
61.0661,0.0927
61.0702,0.0874
61.0744,0.0887
61.0785,0.0900
61.0826,0.0914
61.0868,0.0900
61.0909,0.0874
61.0950,0.0927
61.0992,0.0900
61.1033,0.0914
61.1074,0.0874
61.1116,0.0914
61.1157,0.0940
61.1198,0.0874
61.1240,0.0847
61.1281,0.0874
61.1322,0.0900
61.1364,0.0887
61.1405,0.0914
61.1446,0.0914
61.1488,0.0927
61.1529,0.0967
61.1570,0.0940
61.1612,0.0887
61.1653,0.0940
61.1694,0.0927
61.1736,0.0887
61.1777,0.0874
61.1818,0.0874
61.1859,0.0874
61.1901,0.0887
61.1942,0.0927
61.1983,0.0874
61.2025,0.0940
61.2066,0.0940
61.2107,0.0914
61.2149,0.0900
61.2190,0.0940
61.2231,0.0914
61.2273,0.0861
61.2314,0.0887
61.2355,0.0927
61.2397,0.0900
61.2438,0.0900
61.2479,0.0874
61.2521,0.0887
61.2562,0.0953
61.2603,0.0914
61.2645,0.0887
61.2686,0.0900
61.2727,0.0953
61.2769,0.0887
61.2810,0.0887
61.2851,0.0900
61.2893,0.0861
61.2934,0.0900
61.2975,0.0900
61.3017,0.0887
61.3058,0.0900
61.3099,0.0927
61.3140,0.0914
61.3182,0.0914
61.3223,0.0940
61.3264,0.0927
61.3306,0.0927
61.3347,0.0914
61.3388,0.0927
61.3430,0.0914
61.3471,0.0900
61.3512,0.0900
61.3554,0.0900
61.3595,0.0953
61.3636,0.0914
61.3678,0.0900
61.3719,0.0927
61.3760,0.0940
61.3802,0.0927
61.3843,0.0900
61.3884,0.0927
61.3926,0.0900
61.3967,0.0900
61.4008,0.0861
61.4050,0.0914
61.4091,0.0900
61.4132,0.0874
61.4174,0.0887
61.4215,0.0914
61.4256,0.0914
61.4297,0.0900
61.4339,0.0887
61.4380,0.0914
61.4421,0.0887
61.4463,0.0900
61.4504,0.0900
61.4545,0.0900
61.4587,0.0874
61.4628,0.0914
61.4669,0.0887
61.4711,0.0914
61.4752,0.0914
61.4793,0.0927
61.4835,0.0900
61.4876,0.0887
61.4917,0.0940
61.4959,0.0927
61.5000,0.0914
61.5041,0.0887
61.5083,0.0887
61.5124,0.0927
61.5165,0.0940
61.5207,0.0887
61.5248,0.0900
61.5289,0.0914
61.5331,0.0927
61.5372,0.0914
61.5413,0.0900
61.5455,0.0940
61.5496,0.0953
61.5537,0.0900
61.5578,0.0914
61.5620,0.0914
61.5661,0.0940
61.5702,0.0887
61.5744,0.0887
61.5785,0.0900
61.5826,0.0914
61.5868,0.0900
61.5909,0.0914
61.5950,0.0900
61.5992,0.0927
61.6033,0.0900
61.6074,0.0861
61.6116,0.0874
61.6157,0.0887
61.6198,0.0900
61.6240,0.0887
61.6281,0.0914
61.6322,0.0940
61.6364,0.0900
61.6405,0.0914
